Name,Lat,Long,Year,Mean
MORKALLA NORTH,-34.2942,141.1730,1950,20.32
MORKALLA NORTH,-34.2942,141.1730,1960,24.0
MORKALLA NORTH,-34.2942,141.1730,1970,23.19
MORKALLA NORTH,-34.2942,141.1730,1980,26.74
MORKALLA NORTH,-34.2942,141.1730,1990,22.26
MORKALLA NORTH,-34.2942,141.1730,2000,23.34
MORKALLA NORTH,-34.2942,141.1730,2030,21.76
MULCRA,-35.1667,141.1000,1920,47.4
MULCRA,-35.1667,141.1000,1930,26.26
MULCRA,-35.1667,141.1000,1940,24.02
MULCRA,-35.1667,141.1000,1950,25.68
MULCRA,-35.1667,141.1000,1960,27.14
MULCRA,-35.1667,141.1000,1970,28.45
MULCRA,-35.1667,141.1000,1980,28.34
MULCRA,-35.1667,141.1000,2030,26.75
MURRAY LOCK NUMBER 9,-34.1928,141.5996,1940,17.6
MURRAY LOCK NUMBER 9,-34.1928,141.5996,1950,22.77
MURRAY LOCK NUMBER 9,-34.1928,141.5996,1960,25.34
MURRAY LOCK NUMBER 9,-34.1928,141.5996,1970,23.32
MURRAY LOCK NUMBER 9,-34.1928,141.5996,1980,28.01
MURRAY LOCK NUMBER 9,-34.1928,141.5996,1990,22.85
MURRAY LOCK NUMBER 9,-34.1928,141.5996,2000,25.37
MURRAY LOCK NUMBER 9,-34.1928,141.5996,2010,19.5
MURRAY LOCK NUMBER 9,-34.1928,141.5996,2020,18.65
MURRAY LOCK NUMBER 9,-34.1928,141.5996,2030,22.89
MURRAYVILLE,-35.2628,141.1789,1910,23.85
MURRAYVILLE,-35.2628,141.1789,1920,25.34
MURRAYVILLE,-35.2628,141.1789,1930,27.94
MURRAYVILLE,-35.2628,141.1789,1940,24.98
MURRAYVILLE,-35.2628,141.1789,1950,26.82
MURRAYVILLE,-35.2628,141.1789,1960,29.22
MURRAYVILLE,-35.2628,141.1789,1970,26.95
MURRAYVILLE,-35.2628,141.1789,1980,31.71
MURRAYVILLE,-35.2628,141.1789,1990,26.71
MURRAYVILLE,-35.2628,141.1789,2000,29.57
MURRAYVILLE,-35.2628,141.1789,2010,25.02
MURRAYVILLE,-35.2628,141.1789,2020,24.37
MURRAYVILLE,-35.2628,141.1789,2030,27.01
NANDALY,-35.3167,142.7000,1920,24.66
NANDALY,-35.3167,142.7000,1930,23.47
NANDALY,-35.3167,142.7000,1940,20.86
NANDALY,-35.3167,142.7000,1950,22.31
NANDALY,-35.3167,142.7000,1960,36.62
NANDALY,-35.3167,142.7000,1970,27.55
NANDALY,-35.3167,142.7000,1980,36.97
NANDALY,-35.3167,142.7000,2030,26.79
NEDS CORNER,-34.3167,141.3333,1930,17.2
NEDS CORNER,-34.3167,141.3333,1940,20.4
NEDS CORNER,-34.3167,141.3333,1950,20.45
NEDS CORNER,-34.3167,141.3333,1960,23.65
NEDS CORNER,-34.3167,141.3333,1970,20.93
NEDS CORNER,-34.3167,141.3333,2030,20.73
BANNERTON (CARINA PARK),-34.7536,142.7421,2000,35.9
BANNERTON (CARINA PARK),-34.7536,142.7421,2010,23.53
BANNERTON (CARINA PARK),-34.7536,142.7421,2020,25.75
BANNERTON (CARINA PARK),-34.7536,142.7421,2030,24.75
